removed_block,ppl_bookcorpus,num_calib_data,params
8.0,24.417803063601138,10.0,7812149248.0
10.0,24.417803063601138,10.0,7812149248.0
23.0,24.513371642677637,10.0,7812149248.0
11.0,24.657426302639607,10.0,7812149248.0
26.0,24.657426302639607,10.0,7812149248.0
9.0,24.70563239932894,10.0,7812149248.0
25.0,24.753932740556596,10.0,7812149248.0
22.0,25.045724266551254,10.0,7812149248.0
12.0,25.192907336481866,10.0,7812149248.0
24.0,25.24216031657971,10.0,7812149248.0
21.0,25.2915095879081,10.0,7812149248.0
14.0,25.34095533871963,10.0,7812149248.0
7.0,25.39049775763493,10.0,7812149248.0
13.0,25.39049775763493,10.0,7812149248.0
15.0,25.39049775763493,10.0,7812149248.0
19.0,25.39049775763493,10.0,7812149248.0
18.0,25.44013703364339,10.0,7812149248.0
16.0,25.689792910615846,10.0,7812149248.0
27.0,25.689792910615846,10.0,7812149248.0
28.0,25.790339917193062,10.0,7812149248.0
20.0,25.891280453627324,10.0,7812149248.0
4.0,25.992616060150944,10.0,7812149248.0
17.0,26.09434828302453,10.0,7812149248.0
6.0,26.35042423874788,10.0,7812149248.0
3.0,26.401940203271806,10.0,7812149248.0
5.0,26.557093177483523,10.0,7812149248.0
29.0,27.561124577174567,10.0,7812149248.0
2.0,28.883810562338418,10.0,7812149248.0
30.0,33.05083646319603,10.0,7812149248.0
31.0,86.23113005463887,10.0,7812149248.0
1.0,8040.025228168563,10.0,7812149248.0
0.0,10734.842085952703,10.0,7812149248.0
