block_name,all_weight_scores
model.layers.0,3.3715357780456543,2.5608372688293457,10.16821002960205,36.29844665527344,46.96947479248047,54.168785095214844,64.71174621582031,0.5381937026977539,0.8761135935783386
model.layers.1,5.397604942321777,2.921905755996704,14.059537887573242,34.88019561767578,52.08027267456055,58.59468460083008,66.93026733398438,0.664077877998352,0.9426742196083069
model.layers.2,12.011831283569336,5.148577690124512,8.827856063842773,19.3609561920166,55.858089447021484,60.980224609375,62.03080368041992,0.5401791930198669,0.9541720151901245
model.layers.3,13.016288757324219,6.03926420211792,10.186206817626953,23.030651092529297,49.19227600097656,56.61683654785156,55.39008712768555,0.6191249489784241,0.8641049265861511
model.layers.4,10.467035293579102,4.586489677429199,8.785810470581055,20.63828468322754,41.659263610839844,53.257286071777344,53.275726318359375,0.5049046277999878,0.8205114006996155
model.layers.5,9.058821678161621,3.8135783672332764,6.38869571685791,17.47140121459961,37.82154083251953,49.81688690185547,49.86628723144531,0.37801116704940796,0.7425414323806763
model.layers.6,9.442733764648438,4.193881988525391,6.979559898376465,19.56451416015625,34.694435119628906,47.43128967285156,47.82437515258789,0.4251886010169983,0.6918540000915527
model.layers.7,9.765463829040527,3.8520936965942383,6.636854648590088,21.575292587280273,32.490726470947266,43.484954833984375,43.841678619384766,0.35489463806152344,0.6612337827682495
model.layers.8,8.989166259765625,3.386465549468994,6.072403907775879,21.124252319335938,29.389644622802734,40.18318176269531,41.585487365722656,0.3593176603317261,0.5901488661766052
model.layers.9,8.891042709350586,3.274172782897949,6.4612812995910645,20.825092315673828,27.12302017211914,37.16571044921875,39.02119445800781,0.3899761438369751,0.5479570627212524
model.layers.10,7.068573474884033,2.8546524047851562,5.059477806091309,16.64983367919922,25.65643310546875,35.33978271484375,36.90977096557617,0.3130444288253784,0.5160139203071594
model.layers.11,8.627796173095703,3.274930238723755,5.2051825523376465,18.598377227783203,24.725799560546875,34.0662956237793,34.440155029296875,0.2946133613586426,0.4914129972457886
model.layers.12,7.622805118560791,3.010594129562378,6.172464370727539,19.472002029418945,23.699573516845703,32.471405029296875,34.27686309814453,0.2916252613067627,0.5018362998962402
model.layers.13,7.728722095489502,2.881028175354004,5.649431228637695,18.270687103271484,22.51300048828125,31.547775268554688,34.793060302734375,0.32366424798965454,0.4653474688529968
model.layers.14,7.980760097503662,2.831580400466919,4.754144668579102,17.02932357788086,23.056175231933594,32.83043670654297,35.76963424682617,0.29689013957977295,0.4800853729248047
model.layers.15,6.395632743835449,2.9025113582611084,5.371158599853516,15.652873992919922,23.009931564331055,33.76015853881836,39.214385986328125,0.31812041997909546,0.49148792028427124
model.layers.16,6.262176513671875,2.5724246501922607,5.311262607574463,13.703214645385742,23.978267669677734,33.63733673095703,37.97840881347656,0.2891140580177307,0.5116856098175049
model.layers.17,5.77663516998291,2.594175338745117,5.020537376403809,11.719931602478027,23.893356323242188,33.1427116394043,38.79513168334961,0.30957990884780884,0.4955618977546692
model.layers.18,5.843729019165039,2.381073474884033,3.9147253036499023,9.891802787780762,24.775623321533203,32.18476104736328,36.670310974121094,0.25575894117355347,0.4783768653869629
model.layers.19,4.184872627258301,1.8888853788375854,2.969233989715576,6.994339942932129,25.403636932373047,31.628379821777344,35.672462463378906,0.20064777135849,0.47446054220199585
model.layers.20,4.135843276977539,1.8252294063568115,3.0678391456604004,6.4938063621521,25.978954315185547,31.141910552978516,34.61411666870117,0.2145463228225708,0.47223109006881714
model.layers.21,4.986642837524414,2.1942126750946045,3.505985736846924,8.180981636047363,25.869327545166016,30.837871551513672,34.496726989746094,0.219821035861969,0.4751819968223572
model.layers.22,3.647742748260498,1.5436573028564453,2.6514992713928223,6.5319929122924805,25.79703140258789,29.67345428466797,33.42387390136719,0.17244309186935425,0.45707839727401733
model.layers.23,3.229403495788574,1.4606515169143677,2.753964900970459,6.102085590362549,25.988143920898438,29.132076263427734,31.997432708740234,0.17898058891296387,0.45359623432159424
model.layers.24,3.006758689880371,1.4051622152328491,2.4479475021362305,5.375517845153809,25.91988754272461,28.34396743774414,30.770687103271484,0.15743160247802734,0.43181246519088745
model.layers.25,3.45924973487854,1.5706813335418701,2.646409034729004,5.923095703125,25.904449462890625,27.977184295654297,29.823974609375,0.16453784704208374,0.44490325450897217
model.layers.26,3.4836103916168213,1.6337275505065918,2.9637298583984375,6.236993789672852,26.309494018554688,28.252655029296875,29.610191345214844,0.19800806045532227,0.4552035331726074
model.layers.27,4.15584135055542,1.8532350063323975,3.021176815032959,7.323219299316406,26.46832275390625,28.331207275390625,28.890758514404297,0.21383976936340332,0.4572114944458008
model.layers.28,3.2297873497009277,1.4112229347229004,3.115452766418457,6.911924362182617,26.007793426513672,27.956344604492188,29.695125579833984,0.1797512173652649,0.4586326479911804
model.layers.29,3.5632259845733643,1.6639881134033203,3.143259286880493,7.049342632293701,24.995105743408203,27.38003921508789,31.428455352783203,0.20739376544952393,0.5258432030677795
model.layers.30,3.5793027877807617,1.5948824882507324,3.7611799240112305,8.649730682373047,26.157756805419922,29.80056381225586,36.955806732177734,0.2292708158493042,0.6629071235656738
model.layers.31,4.449190139770508,2.3029944896698,4.814375877380371,12.016090393066406,32.97126770019531,40.26852035522461,70.70802307128906,0.2700634002685547,1.1375564336776733
model.norm.weight,2.1530332565307617
lm_head.weight,54.25787353515625
