weight_name,weight_score
model.layers.12.input_layernorm.weight,0.2916252613067627
model.layers.12.post_attention_layernorm.weight,0.5018362998962402
model.layers.13.self_attn.q_proj.weight,7.728722095489502
model.layers.13.self_attn.k_proj.weight,2.881028175354004
model.layers.13.self_attn.v_proj.weight,5.649431228637695
model.layers.13.self_attn.o_proj.weight,18.270687103271484
model.layers.13.mlp.gate_proj.weight,22.51300048828125
model.layers.13.mlp.up_proj.weight,31.547775268554688
model.layers.13.mlp.down_proj.weight,34.793060302734375
model.layers.13.input_layernorm.weight,0.32366424798965454
model.layers.13.post_attention_layernorm.weight,0.4653474688529968
model.layers.14.self_attn.q_proj.weight,7.980760097503662
model.layers.14.self_attn.k_proj.weight,2.831580400466919
model.layers.14.self_attn.v_proj.weight,4.754144668579102
model.layers.14.self_attn.o_proj.weight,17.02932357788086
model.layers.14.mlp.gate_proj.weight,23.056175231933594
model.layers.14.mlp.up_proj.weight,32.83043670654297
model.layers.14.mlp.down_proj.weight,35.76963424682617
model.layers.14.input_layernorm.weight,0.29689013957977295
model.layers.14.post_attention_layernorm.weight,0.4800853729248047
model.layers.15.self_attn.q_proj.weight,6.395632743835449
model.layers.15.self_attn.k_proj.weight,2.9025113582611084
model.layers.15.self_attn.v_proj.weight,5.371158599853516
model.layers.15.self_attn.o_proj.weight,15.652873992919922
model.layers.15.mlp.gate_proj.weight,23.009931564331055
model.layers.15.mlp.up_proj.weight,33.76015853881836
model.layers.15.mlp.down_proj.weight,39.214385986328125
model.layers.15.input_layernorm.weight,0.31812041997909546
model.layers.15.post_attention_layernorm.weight,0.49148792028427124
model.layers.16.self_attn.q_proj.weight,6.262176513671875
model.layers.16.self_attn.k_proj.weight,2.5724246501922607
model.layers.16.self_attn.v_proj.weight,5.311262607574463
model.layers.16.self_attn.o_proj.weight,13.703214645385742
model.layers.16.mlp.gate_proj.weight,23.978267669677734
model.layers.16.mlp.up_proj.weight,33.63733673095703
model.layers.16.mlp.down_proj.weight,37.97840881347656
model.layers.16.input_layernorm.weight,0.2891140580177307
model.layers.16.post_attention_layernorm.weight,0.5116856098175049
model.layers.17.self_attn.q_proj.weight,5.77663516998291
model.layers.17.self_attn.k_proj.weight,2.594175338745117
model.layers.17.self_attn.v_proj.weight,5.020537376403809
model.layers.17.self_attn.o_proj.weight,11.719931602478027
model.layers.17.mlp.gate_proj.weight,23.893356323242188
model.layers.17.mlp.up_proj.weight,33.1427116394043
model.layers.17.mlp.down_proj.weight,38.79513168334961
model.layers.17.input_layernorm.weight,0.30957990884780884
model.layers.17.post_attention_layernorm.weight,0.4955618977546692
model.layers.18.self_attn.q_proj.weight,5.843729019165039
model.layers.18.self_attn.k_proj.weight,2.381073474884033
model.layers.18.self_attn.v_proj.weight,3.9147253036499023
model.layers.18.self_attn.o_proj.weight,9.891802787780762
model.layers.18.mlp.gate_proj.weight,24.775623321533203
model.layers.18.mlp.up_proj.weight,32.18476104736328
model.layers.18.mlp.down_proj.weight,36.670310974121094
model.layers.18.input_layernorm.weight,0.25575894117355347
model.layers.18.post_attention_layernorm.weight,0.4783768653869629
model.layers.19.self_attn.q_proj.weight,4.184872627258301
model.layers.19.self_attn.k_proj.weight,1.8888853788375854
model.layers.19.self_attn.v_proj.weight,2.969233989715576
model.layers.19.self_attn.o_proj.weight,6.994339942932129
model.layers.19.mlp.gate_proj.weight,25.403636932373047
model.layers.19.mlp.up_proj.weight,31.628379821777344
model.layers.19.mlp.down_proj.weight,35.672462463378906
model.layers.19.input_layernorm.weight,0.20064777135849
model.layers.19.post_attention_layernorm.weight,0.47446054220199585
model.layers.20.self_attn.q_proj.weight,4.135843276977539
model.layers.20.self_attn.k_proj.weight,1.8252294063568115
model.layers.20.self_attn.v_proj.weight,3.0678391456604004
model.layers.20.self_attn.o_proj.weight,6.4938063621521
model.layers.20.mlp.gate_proj.weight,25.978954315185547
model.layers.20.mlp.up_proj.weight,31.141910552978516
model.layers.20.mlp.down_proj.weight,34.61411666870117
model.layers.20.input_layernorm.weight,0.2145463228225708
model.layers.20.post_attention_layernorm.weight,0.47223109006881714
model.layers.21.self_attn.q_proj.weight,4.986642837524414
model.layers.21.self_attn.k_proj.weight,2.1942126750946045
model.layers.21.self_attn.v_proj.weight,3.505985736846924
model.layers.21.self_attn.o_proj.weight,8.180981636047363
model.layers.21.mlp.gate_proj.weight,25.869327545166016
model.layers.21.mlp.up_proj.weight,30.837871551513672
model.layers.21.mlp.down_proj.weight,34.496726989746094
model.layers.21.input_layernorm.weight,0.219821035861969
model.layers.21.post_attention_layernorm.weight,0.4751819968223572
model.layers.22.self_attn.q_proj.weight,3.647742748260498
model.layers.22.self_attn.k_proj.weight,1.5436573028564453
model.layers.22.self_attn.v_proj.weight,2.6514992713928223
model.layers.22.self_attn.o_proj.weight,6.5319929122924805
model.layers.22.mlp.gate_proj.weight,25.79703140258789
model.layers.22.mlp.up_proj.weight,29.67345428466797
model.layers.22.mlp.down_proj.weight,33.42387390136719
model.layers.22.input_layernorm.weight,0.17244309186935425
model.layers.22.post_attention_layernorm.weight,0.45707839727401733
model.layers.23.self_attn.q_proj.weight,3.229403495788574
model.layers.23.self_attn.k_proj.weight,1.4606515169143677
model.layers.23.self_attn.v_proj.weight,2.753964900970459
model.layers.23.self_attn.o_proj.weight,6.102085590362549
model.layers.23.mlp.gate_proj.weight,25.988143920898438
model.layers.23.mlp.up_proj.weight,29.132076263427734
model.layers.23.mlp.down_proj.weight,31.997432708740234
model.layers.23.input_layernorm.weight,0.17898058891296387
model.layers.23.post_attention_layernorm.weight,0.45359623432159424
model.layers.24.self_attn.q_proj.weight,3.006758689880371
model.layers.24.self_attn.k_proj.weight,1.4051622152328491
model.layers.24.self_attn.v_proj.weight,2.4479475021362305
model.layers.24.self_attn.o_proj.weight,5.375517845153809
model.layers.24.mlp.gate_proj.weight,25.91988754272461
model.layers.24.mlp.up_proj.weight,28.34396743774414
model.layers.24.mlp.down_proj.weight,30.770687103271484
model.layers.24.input_layernorm.weight,0.15743160247802734
model.layers.24.post_attention_layernorm.weight,0.43181246519088745
model.layers.25.self_attn.q_proj.weight,3.45924973487854
model.layers.25.self_attn.k_proj.weight,1.5706813335418701
model.layers.25.self_attn.v_proj.weight,2.646409034729004
model.layers.25.self_attn.o_proj.weight,5.923095703125
model.layers.25.mlp.gate_proj.weight,25.904449462890625
model.layers.25.mlp.up_proj.weight,27.977184295654297
model.layers.25.mlp.down_proj.weight,29.823974609375
model.layers.25.input_layernorm.weight,0.16453784704208374
model.layers.25.post_attention_layernorm.weight,0.44490325450897217
model.layers.26.self_attn.q_proj.weight,3.4836103916168213
model.layers.26.self_attn.k_proj.weight,1.6337275505065918
model.layers.26.self_attn.v_proj.weight,2.9637298583984375
model.layers.26.self_attn.o_proj.weight,6.236993789672852
model.layers.26.mlp.gate_proj.weight,26.309494018554688
model.layers.26.mlp.up_proj.weight,28.252655029296875
model.layers.26.mlp.down_proj.weight,29.610191345214844
model.layers.26.input_layernorm.weight,0.19800806045532227
model.layers.26.post_attention_layernorm.weight,0.4552035331726074
model.layers.27.self_attn.q_proj.weight,4.15584135055542
model.layers.27.self_attn.k_proj.weight,1.8532350063323975
model.layers.27.self_attn.v_proj.weight,3.021176815032959
