block_name,block_score
model.layers.0,219.663330078125
model.layers.1,236.47122192382812
model.layers.2,225.7126922607422
model.layers.3,214.95484924316406
model.layers.4,193.9953155517578
model.layers.5,175.35775756835938
model.layers.6,171.24783325195312
model.layers.7,162.66317749023438
model.layers.8,151.6800537109375
model.layers.9,143.69944763183594
model.layers.10,130.36758422851562
model.layers.11,129.7245635986328
model.layers.12,127.51917266845703
model.layers.13,124.17271423339844
model.layers.14,125.02903747558594
model.layers.15,127.11626434326172
model.layers.16,124.24388885498047
model.layers.17,121.74762725830078
model.layers.18,116.39616394042969
model.layers.19,109.41691589355469
model.layers.20,107.9444808959961
model.layers.21,110.7667465209961
model.layers.22,103.89877319335938
model.layers.23,101.29633331298828
model.layers.24,97.85916900634766
model.layers.25,97.91448211669922
model.layers.26,99.14361572265625
model.layers.27,100.71481323242188
model.layers.28,98.96603393554688
model.layers.29,99.95664978027344
model.layers.30,111.39141082763672
model.layers.31,168.93807983398438
model.norm.weight,2.1530332565307617
lm_head.weight,54.25787353515625
